,Filename,Pixels,Kernel,Type,Time
0,input/2k.jpg,1015200,3,Cuda,0.000341
1,input/2k.jpg,1015200,3,Linear,0.138488
2,input/2k.jpg,1015200,5,Cuda,2.1e-05
3,input/2k.jpg,1015200,5,Linear,0.335138
4,input/2k.jpg,1015200,7,Cuda,2.1e-05
5,input/2k.jpg,1015200,7,Linear,0.638464
6,input/2k.jpg,1015200,9,Cuda,2.1e-05
7,input/2k.jpg,1015200,9,Linear,1.044776
8,input/2k.jpg,1015200,11,Cuda,2.8e-05
9,input/2k.jpg,1015200,11,Linear,1.56557
10,input/2k.jpg,1015200,13,Cuda,2.7e-05
11,input/2k.jpg,1015200,13,Linear,2.177803
12,input/2k.jpg,1015200,15,Cuda,2.7e-05
13,input/2k.jpg,1015200,15,Linear,2.891227
14,input/background.jpg,3686400,3,Cuda,3.8e-05
15,input/background.jpg,3686400,3,Linear,0.503695
16,input/background.jpg,3686400,5,Cuda,3.2e-05
17,input/background.jpg,3686400,5,Linear,1.212303
18,input/background.jpg,3686400,7,Cuda,3e-05
19,input/background.jpg,3686400,7,Linear,2.476639
20,input/background.jpg,3686400,9,Cuda,4.4e-05
21,input/background.jpg,3686400,9,Linear,4.399422
22,input/background.jpg,3686400,11,Cuda,4.3e-05
23,input/background.jpg,3686400,11,Linear,6.453653
24,input/background.jpg,3686400,13,Cuda,3.5e-05
25,input/background.jpg,3686400,13,Linear,7.930432
26,input/background.jpg,3686400,15,Cuda,4.1e-05
27,input/background.jpg,3686400,15,Linear,10.535107
28,input/boat.jpg,700344,3,Cuda,3.2e-05
29,input/boat.jpg,700344,3,Linear,0.097371
30,input/boat.jpg,700344,5,Cuda,2.3e-05
31,input/boat.jpg,700344,5,Linear,0.231839
32,input/boat.jpg,700344,7,Cuda,2e-05
33,input/boat.jpg,700344,7,Linear,0.440347
34,input/boat.jpg,700344,9,Cuda,2e-05
35,input/boat.jpg,700344,9,Linear,0.719986
36,input/boat.jpg,700344,11,Cuda,2e-05
37,input/boat.jpg,700344,11,Linear,1.07878
38,input/boat.jpg,700344,13,Cuda,1.9e-05
39,input/boat.jpg,700344,13,Linear,1.501336
40,input/boat.jpg,700344,15,Cuda,2.7e-05
41,input/boat.jpg,700344,15,Linear,1.992307
42,input/butterfly.jpg,198144,3,Cuda,1.6e-05
43,input/butterfly.jpg,198144,3,Linear,0.028026
44,input/butterfly.jpg,198144,5,Cuda,1.7e-05
45,input/butterfly.jpg,198144,5,Linear,0.065484
46,input/butterfly.jpg,198144,7,Cuda,1.8e-05
47,input/butterfly.jpg,198144,7,Linear,0.126849
48,input/butterfly.jpg,198144,9,Cuda,1.6e-05
49,input/butterfly.jpg,198144,9,Linear,0.202878
50,input/butterfly.jpg,198144,11,Cuda,1.7e-05
51,input/butterfly.jpg,198144,11,Linear,0.303793
52,input/butterfly.jpg,198144,13,Cuda,1.6e-05
53,input/butterfly.jpg,198144,13,Linear,0.422281
54,input/butterfly.jpg,198144,15,Cuda,1.7e-05
55,input/butterfly.jpg,198144,15,Linear,0.559924
56,input/Cat.jpg,230880,3,Cuda,1.7e-05
57,input/Cat.jpg,230880,3,Linear,0.031954
