,Unnamed: 0,Filename,Pixels,Kernel,Type,Time
0,0,input/2k.jpg,1015200,3,Cuda,0.000331
1,1,input/2k.jpg,1015200,3,Linear,0.142095
2,2,input/2k.jpg,1015200,5,Cuda,3.9e-05
3,3,input/2k.jpg,1015200,5,Linear,0.335098
4,4,input/2k.jpg,1015200,7,Cuda,5.5e-05
5,5,input/2k.jpg,1015200,7,Linear,0.636596
6,6,input/2k.jpg,1015200,9,Cuda,7.5e-05
7,7,input/2k.jpg,1015200,9,Linear,1.044814
8,8,input/2k.jpg,1015200,11,Cuda,0.000106
9,9,input/2k.jpg,1015200,11,Linear,1.563982
10,10,input/2k.jpg,1015200,13,Cuda,0.000127
11,11,input/2k.jpg,1015200,13,Linear,2.177517
12,12,input/2k.jpg,1015200,15,Cuda,0.000167
13,13,input/2k.jpg,1015200,15,Linear,2.890913
14,14,input/background.jpg,3686400,3,Cuda,5.7e-05
15,15,input/background.jpg,3686400,3,Linear,0.503606
16,16,input/background.jpg,3686400,5,Cuda,9.4e-05
17,17,input/background.jpg,3686400,5,Linear,1.212807
18,18,input/background.jpg,3686400,7,Cuda,0.000154
19,19,input/background.jpg,3686400,7,Linear,2.319814
20,20,input/background.jpg,3686400,9,Cuda,0.000215
21,21,input/background.jpg,3686400,9,Linear,3.798973
22,22,input/background.jpg,3686400,11,Cuda,0.000308
23,23,input/background.jpg,3686400,11,Linear,5.693633
24,24,input/background.jpg,3686400,13,Cuda,0.000407
25,25,input/background.jpg,3686400,13,Linear,7.927824
26,26,input/background.jpg,3686400,15,Cuda,0.000521
27,27,input/background.jpg,3686400,15,Linear,10.528796
28,28,input/boat.jpg,700344,3,Cuda,2.7e-05
29,29,input/boat.jpg,700344,3,Linear,0.098367
30,30,input/boat.jpg,700344,5,Cuda,3.2e-05
31,31,input/boat.jpg,700344,5,Linear,0.231527
32,32,input/boat.jpg,700344,7,Cuda,4.2e-05
33,33,input/boat.jpg,700344,7,Linear,0.439976
34,34,input/boat.jpg,700344,9,Cuda,5.7e-05
35,35,input/boat.jpg,700344,9,Linear,0.720449
36,36,input/boat.jpg,700344,11,Cuda,7.3e-05
37,37,input/boat.jpg,700344,11,Linear,1.078303
38,38,input/boat.jpg,700344,13,Cuda,9.2e-05
39,39,input/boat.jpg,700344,13,Linear,1.500116
40,40,input/boat.jpg,700344,15,Cuda,0.000116
41,41,input/boat.jpg,700344,15,Linear,1.991755
42,42,input/butterfly.jpg,198144,3,Cuda,2e-05
43,43,input/butterfly.jpg,198144,3,Linear,0.027678
44,44,input/butterfly.jpg,198144,5,Cuda,2.1e-05
45,45,input/butterfly.jpg,198144,5,Linear,0.065211
46,46,input/butterfly.jpg,198144,7,Cuda,2e-05
47,47,input/butterfly.jpg,198144,7,Linear,0.124498
48,48,input/butterfly.jpg,198144,9,Cuda,2.9e-05
49,49,input/butterfly.jpg,198144,9,Linear,0.202901
50,50,input/butterfly.jpg,198144,11,Cuda,3.5e-05
51,51,input/butterfly.jpg,198144,11,Linear,0.303717
52,52,input/butterfly.jpg,198144,13,Cuda,4.1e-05
53,53,input/butterfly.jpg,198144,13,Linear,0.422215
54,54,input/butterfly.jpg,198144,15,Cuda,4.7e-05
55,55,input/butterfly.jpg,198144,15,Linear,0.56013
56,56,input/Cat.jpg,230880,3,Cuda,1.6e-05
57,57,input/Cat.jpg,230880,3,Linear,0.032859
58,58,input/Cat.jpg,230880,5,Cuda,2.1e-05
59,59,input/Cat.jpg,230880,5,Linear,0.076159
60,60,input/Cat.jpg,230880,7,Cuda,2.7e-05
61,61,input/Cat.jpg,230880,7,Linear,0.144957
62,62,input/Cat.jpg,230880,9,Cuda,3.3e-05
63,63,input/Cat.jpg,230880,9,Linear,0.236438
64,64,input/Cat.jpg,230880,11,Cuda,4e-05
65,65,input/Cat.jpg,230880,11,Linear,0.356508
66,66,input/Cat.jpg,230880,13,Cuda,4.7e-05
67,67,input/Cat.jpg,230880,13,Linear,0.492317
68,68,input/Cat.jpg,230880,15,Cuda,5.6e-05
69,69,input/Cat.jpg,230880,15,Linear,0.653079
